0        0.770629
1         1.06763
2         4.58452
3         2.08078
4          2.9978
5         3.59294
6         4.42983
7        0.540399
8         4.12189
9         5.68932
10         2.33418
11          5.2563
12         4.87605
13        0.132811
14         1.05762
15         3.59674
16         1.75447
17         3.42973
18         0.10871
19         3.66422
20        0.406163
21         4.74163
22         1.46497
23          1.2145
24         3.09903
25         4.75039
26         3.01051
27         3.10553
28         1.62039
29         1.50337
30         2.96439
31         3.67514
32         3.87553
33         3.64719
